"id","description","last_updated"
"320005","HUMMUS, OTHER","2019-04-01"
"320006","HUMMUS, OTHER","2019-04-01"
"320007","HUMMUS, OTHER","2019-04-01"
"320008","HUMMUS, OTHER","2019-04-01"
"320009","HUMMUS, OTHER","2019-04-01"
"320010","HUMMUS, OTHER","2019-04-01"
"320011","Hummus - NFY12142M","2019-04-01"
"320012","Hummus - NFY12142N","2019-04-01"
"320013","Hummus","2019-04-01"
"320014","Hummus","2019-04-01"
"320015","Hummus","2019-04-01"
"320016","Hummus","2019-04-01"
"320017","Hummus","2019-04-01"
"320018","Hummus - NFY12142O","2019-04-01"
"320019","Hummus - NFY12142P","2019-04-01"
"320020","Hummus - NFY12142Q","2019-04-01"
"320021","Hummus - NFY12142R","2019-04-01"
"320022","Hummus - NFY12142G","2019-04-01"
"320023","Hummus, Other - AZ, IN","2019-04-01"
"320025","MILK, 2% (WAVE 22E)","2019-04-01"
"320026","MILK, 2% (WAVE 22E)","2019-04-01"
"320027","MILK, 2% ","2019-04-01"
"320028","MILK, 2% ","2019-04-01"
"320029","MILK, 2% ","2019-04-01"
"320030","MILK, 2% (WAVE 22E)","2019-04-01"
"320031","MILK, 2% (WAVE 22E)","2019-04-01"
"320032","MILK, 2% (WAVE 22E)","2019-04-01"
"320033","MILK, 2% ","2019-04-01"
"320034","MILK, 2% ","2019-04-01"
"320035","MILK, 2% ","2019-04-01"
"320036","MILK, 2% (WAVE 22E)","2019-04-01"
"320037","MILK, 2% (WAVE 22E)","2019-04-01"
"320038","MILK, 2% (WAVE 22E)","2019-04-01"
"320039","MILK, 2% ","2019-04-01"
"320040","MILK, 2% ","2019-04-01"
"320041","MILK, 2% ","2019-04-01"
"320042","MILK, 2% (WAVE 22E)","2019-04-01"
"320043","MILK, 2% (WAVE 22E)","2019-04-01"
"320044","MILK, 2% (WAVE 22E)","2019-04-01"
"320045","MILK, 2% ","2019-04-01"
"320046","MILK, 2% ","2019-04-01"
"320047","MILK, 2% ","2019-04-01"
"320048","MILK, 2% ","2019-04-01"
"320049","MILK, 2% ","2019-04-01"
"320050","MILK, 2% ","2019-04-01"
"320051","MILK, 2% ","2019-04-01"
"320052","MILK, 2% ","2019-04-01"
"320053","MILK, 2% ","2019-04-01"
"320054","MILK, 2% ","2019-04-01"
"320055","Milk, 2%","2019-04-01"
"320056","Milk, 2%","2019-04-01"
"320057","Milk, 2%","2019-04-01"
"320058","Milk, 2%","2019-04-01"
"320059","Milk, 2%","2019-04-01"
"320060","MILK, 2% (WAVE 22E)","2019-04-01"
"320061","MILK, 2% (WAVE 22E)","2019-04-01"
"320062","MILK, 2% (WAVE 22E)","2019-04-01"
"320063","MILK, 2% (WAVE 22E)","2019-04-01"
"320064","MILK, 2% ","2019-04-01"
"320065","MILK, 2% ","2019-04-01"
"320066","MILK, 2% ","2019-04-01"
"320067","MILK, 2% ","2019-04-01"
"320068","MILK, 2% ","2019-04-01"
"320069","MILK, 2% ","2019-04-01"
"320070","MILK, 2% ","2019-04-01"
"320071","MILK, 2% ","2019-04-01"
"320072","MILK, 2% ","2019-04-01"
"320073","MILK, 2% ","2019-04-01"
"320074","MILK, 2% ","2019-04-01"
"320075","MILK, 2% ","2019-04-01"
"320076","MILK, 2% ","2019-04-01"
"320077","Milk, 2%","2019-04-01"
"320078","Milk, 2%","2019-04-01"
"320079","Milk, 2%","2019-04-01"
"320080","Milk, 2%","2019-04-01"
"320081","Milk, 2%","2019-04-01"
"320082","Milk, 2%","2019-04-01"
"320083","MILK, 2% (WAVE 22E)","2019-04-01"
"320084","MILK, 2% (WAVE 22E)","2019-04-01"
"320085","MILK, 2% (WAVE 22E)","2019-04-01"
"320086","MILK, 2% (WAVE 22E)","2019-04-01"
"320087","MILK, 2% ","2019-04-01"
"320088","MILK, 2% ","2019-04-01"
"320089","MILK, 2% ","2019-04-01"
"320090","MILK, 2% ","2019-04-01"
"320091","MILK, 2% ","2019-04-01"
"320092","MILK, 2% ","2019-04-01"
"320093","MILK, 2% ","2019-04-01"
"320094","MILK, 2% ","2019-04-01"
"320095","MILK, 2% ","2019-04-01"
"320096","MILK, 2% ","2019-04-01"
"320097","Milk, 2%","2019-04-01"
"320098","Milk, 2%","2019-04-01"
"320099","Milk, 2%","2019-04-01"
"320100","Milk, 2%","2019-04-01"
"320101","Milk, 2%","2019-04-01"
"320102","MILK, 2% (WAVE 22E)","2019-04-01"
"320103","MILK, 2% (WAVE 22E)","2019-04-01"
"320104","MILK, 2% (WAVE 22E)","2019-04-01"
"320105","MILK, 2% (WAVE 22E)","2019-04-01"
"320106","MILK, 2% ","2019-04-01"
"320107","MILK, 2% ","2019-04-01"
"320108","MILK, 2% ","2019-04-01"
"320109","MILK, 2% ","2019-04-01"
"320110","MILK, 2% ","2019-04-01"
"320111","MILK, 2% ","2019-04-01"
"320112","MILK, 2% ","2019-04-01"
"320113","MILK, 2% ","2019-04-01"
"320114","MILK, 2% ","2019-04-01"
"320115","MILK, 2% ","2019-04-01"
"320116","Milk, 2%","2019-04-01"
"320117","Milk, 2%","2019-04-01"
"320118","Milk, 2%","2019-04-01"
"320119","Milk, 2%","2019-04-01"
"320120","Milk, 2%","2019-04-01"
"320121","Milk, 2%","2019-04-01"
"320122","MILK, 2% (WAVE 22E)","2019-04-01"
"320123","MILK, 2% (WAVE 22E)","2019-04-01"
"320124","MILK, 2% (WAVE 22E)","2019-04-01"
"320125","MILK, 2% (WAVE 22E)","2019-04-01"
"320126","MILK, 2% ","2019-04-01"
"320127","MILK, 2% ","2019-04-01"
"320128","MILK, 2% ","2019-04-01"
"320129","MILK, 2% ","2019-04-01"
"320130","MILK, 2% ","2019-04-01"
"320131","MILK, 2% ","2019-04-01"
"320132","MILK, 2% ","2019-04-01"
"320133","MILK, 2% ","2019-04-01"
"320134","MILK, 2% ","2019-04-01"
"320135","MILK, 2% ","2019-04-01"
"320136","Milk, 2%","2019-04-01"
"320137","Milk, 2%","2019-04-01"
"320138","Milk, 2%","2019-04-01"
"320139","Milk, 2%","2019-04-01"
"320140","Milk, 2%","2019-04-01"
"320141","MILK, 2% (WAVE 22E)","2019-04-01"
"320142","MILK, 2% (WAVE 22E)","2019-04-01"
"320143","MILK, 2% (WAVE 22E)","2019-04-01"
"320144","MILK, 2% (WAVE 22E)","2019-04-01"
"320145","MILK, 2% ","2019-04-01"
"320146","MILK, 2% ","2019-04-01"
"320147","MILK, 2% ","2019-04-01"
"320148","MILK, 2% ","2019-04-01"
"320149","MILK, 2% ","2019-04-01"
"320150","MILK, 2% ","2019-04-01"
"320151","MILK, 2% ","2019-04-01"
"320152","MILK, 2% ","2019-04-01"
"320153","MILK, 2% ","2019-04-01"
"320154","MILK, 2% ","2019-04-01"
"320155","MILK, 2% ","2019-04-01"
"320156","MILK, 2% ","2019-04-01"
"320157","MILK, 2% ","2019-04-01"
"320158","Milk, 2%","2019-04-01"
"320159","Milk, 2%","2019-04-01"
"320160","Milk, 2%","2019-04-01"
"320161","Milk, 2%","2019-04-01"
"320162","Milk, 2%","2019-04-01"
"320163","MILK, 2% (WAVE 22E)","2019-04-01"
"320164","MILK, 2% (WAVE 22E)","2019-04-01"
"320165","MILK, 2% (WAVE 22E)","2019-04-01"
"320166","MILK, 2% (WAVE 22E)","2019-04-01"
"320167","MILK, 2% ","2019-04-01"
"320168","MILK, 2% ","2019-04-01"
"320169","MILK, 2% ","2019-04-01"
"320170","MILK, 2% ","2019-04-01"
"320171","MILK, 2% (WAVE 22E)","2019-04-01"
"320172","MILK, 2% (WAVE 22E)","2019-04-01"
"320173","MILK, 2% (WAVE 22E)","2019-04-01"
"320174","MILK, 2% ","2019-04-01"
"320175","MILK, 2% ","2019-04-01"
"320176","MILK, 2% ","2019-04-01"
"320177","MILK, 2% (WAVE 22E)","2019-04-01"
"320178","MILK, 2% (WAVE 22E)","2019-04-01"
"320179","MILK, 2% (WAVE 22E)","2019-04-01"
"320180","MILK, 2% (WAVE 22E)","2019-04-01"
"320181","MILK, 2% ","2019-04-01"
"320182","MILK, 2% ","2019-04-01"
"320183","MILK, 2% ","2019-04-01"
"320184","MILK, 2% (WAVE 22E)","2019-04-01"
"320185","MILK, 2% (WAVE 22E)","2019-04-01"
"320186","MILK, 2% (WAVE 22E)","2019-04-01"
"320187","MILK, 2% ","2019-04-01"
"320188","MILK, 2% ","2019-04-01"
"320189","MILK, 2% ","2019-04-01"
"320190","MILK, 2% (WAVE 22E)","2019-04-01"
"320191","MILK, 2% (WAVE 22E)","2019-04-01"
"320192","MILK, 2% (WAVE 22E)","2019-04-01"
"320193","MILK, 2% ","2019-04-01"
"320194","MILK, 2% ","2019-04-01"
"320195","MILK, 2% ","2019-04-01"
"320196","MILK, 2% (WAVE 22E)","2019-04-01"
"320197","MILK, 2% (WAVE 22E)","2019-04-01"
"320198","MILK, 2% (WAVE 22E)","2019-04-01"
"320199","MILK, 2% ","2019-04-01"
"320200","MILK, 2% ","2019-04-01"
"320201","MILK, 2% ","2019-04-01"
"320202","MILK, 2% (WAVE 22E)","2019-04-01"
"320203","MILK, 2% (WAVE 22E)","2019-04-01"
"320204","MILK, 2% (WAVE 22E)","2019-04-01"
"320205","MILK, 2% ","2019-04-01"
"320206","MILK, 2% ","2019-04-01"
"320207","MILK, 2% ","2019-04-01"
"320208","MILK, 2% (WAVE 22E)","2019-04-01"
"320209","MILK, 2% (WAVE 22E)","2019-04-01"
"320210","MILK, 2% (WAVE 22E)","2019-04-01"
"320211","MILK, 2% (WAVE 22E)","2019-04-01"
"320212","MILK, 2% ","2019-04-01"
"320213","MILK, 2% ","2019-04-01"
"320214","MILK, 2% ","2019-04-01"
"320215","MILK, 2% ","2019-04-01"
"320216","MILK, 2% ","2019-04-01"
"320217","MILK, 2% ","2019-04-01"
"320218","MILK, 2% ","2019-04-01"
"320219","MILK, 2% ","2019-04-01"
"320220","MILK, 2% ","2019-04-01"
