"id","description","last_updated"
"328947","Mozzarella, low-moisture, part-skim, KRAFT (MO1) - NFY120CXZ","2019-04-01"
"328948","Mozzarella, low-moisture, part-skim, KRAFT (FL) - NFY120CYA","2019-04-01"
"328949","Mozzarella, low-moisture, part-skim, KRAFT (MO1) - NFY120CY0","2019-04-01"
"328950","Mozzarella, low-moisture, part-skim, KRAFT (FL) - NFY120CYB","2019-04-01"
"328951","Mozzarella, low-moisture, part-skim, KRAFT (MO1) - NFY120CXX","2019-04-01"
"328952","Mozzarella, low-moisture, part-skim, KRAFT (FL) - NFY120CYC","2019-04-01"
"328953","Mozzarella, low-moisture, part-skim, KRAFT (MO1) - NFY120CXY","2019-04-01"
"328954","Mozzarella, low-moisture, part-skim, KRAFT (FL) - NFY120CY9","2019-04-01"
"328955","Tocopherols, Mozzarella cheese, low-moisture, part-skim, KRAFT (FL,MO) - NFY120DJG","2019-04-01"
"328956","Cholesterol, Mozzarella cheese, low-moisture, part-skim, KRAFT (FL,MO) - NFY120DJH","2019-04-01"
"328957","Minerals, Mozzarella cheese, low-moisture, part-skim, KRAFT (FL,MO) - NFY120DJI","2019-04-01"
"328958","Niacin, Mozzarella cheese, low-moisture, part-skim, KRAFT (FL,MO) - NFY120DJJ","2019-04-01"
"328959","Riboflavin, Mozzarella cheese, low-moisture, part-skim, KRAFT (FL,MO) - NFY120DJK","2019-04-01"
"328960","Selenium, Mozzarella cheese, low-moisture, part-skim, KRAFT (FL,MO) - NFY120DJL","2019-04-01"
"328961","Thiamin, Mozzarella cheese, low-moisture, part-skim, KRAFT (FL,MO) - NFY120DJM","2019-04-01"
"328962","Vitamin B6, Mozzarella cheese, low-moisture, part-skim, KRAFT (FL,MO) - NFY120DJN","2019-04-01"
"328963","Fatty Acids, Mozzarella cheese, low-moisture, part-skim, KRAFT (FL,MO) - NFY120DJO","2019-04-01"
"328964","Proximates, Mozzarella cheese, low-moisture, part-skim, KRAFT (FL,MO) - NFY120DJP","2019-04-01"
"328965","Vitamin B12, Mozzarella cheese, low-moisture, part-skim, KRAFT (FL,MO) - NFY120DJQ","2019-04-01"
"328966","Vitamin B12, Mozzarella cheese, low-moisture, part-skim, KRAFT (FL,MO) - NFY120DJR","2019-04-01"
"328967","Mozzarella cheese, low-moisture, part-skim, store brand, AMERICAS CHOICE  (NY) - CY120IW","2019-04-01"
"328968","Mozzarella, low-moisture, part-skim, store brand, AMERICAS CHOICE  (NY) - NFY120CZL","2019-04-01"
"328969","Mozzarella, low-moisture, part-skim, store brand, AMERICAS CHOICE  (NY) - NFY120CZO","2019-04-01"
"328970","Mozzarella, low-moisture, part-skim, store brand, AMERICAS CHOICE  (NY) - NFY120CZN","2019-04-01"
"328971","Mozzarella, low-moisture, part-skim, store brand, AMERICAS CHOICE  (NY) - NFY120CZM","2019-04-01"
"328972","Minerals, Mozzarella cheese, low-moisture, part-skim, store brand, AMERICAS CHOICE (NY) - NFY120DKP","2019-04-01"
"328973","Fatty Acids, Mozzarella cheese, low-moisture, part-skim, store brand, AMERICAS CHOICE (NY) - NFY120DKQ","2019-04-01"
"328974","Proximates, Mozzarella cheese, low-moisture, part-skim, store brand, AMERICAS CHOICE (NY) - NFY120DKR","2019-04-01"
"328975","Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - CY120IR","2019-04-01"
"328976","Mozzarella, low-moisture, part-skim, KRAFT (IN1) - NFY120CYG","2019-04-01"
"328977","Mozzarella, low-moisture, part-skim, KRAFT (NY) - NFY120CYL","2019-04-01"
"328978","Mozzarella, low-moisture, part-skim, KRAFT (NY) - NFY120CYO","2019-04-01"
"328979","Mozzarella, low-moisture, part-skim, KRAFT (IN1) - NFY120CYE","2019-04-01"
"328980","Mozzarella, low-moisture, part-skim, KRAFT (IN1) - NFY120CYF","2019-04-01"
"328981","Mozzarella, low-moisture, part-skim, KRAFT (NY) - NFY120CYN","2019-04-01"
"328982","Mozzarella, low-moisture, part-skim, KRAFT (IN1) - NFY120CYD","2019-04-01"
"328983","Mozzarella, low-moisture, part-skim, KRAFT (NY) - NFY120CYM","2019-04-01"
"328984","Retinol, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIK","2019-04-01"
"328985","Tocopherols, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIL","2019-04-01"
"328986","Cholesterol, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIM","2019-04-01"
"328987","Folate, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIN","2019-04-01"
"328988","Minerals, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIO","2019-04-01"
"328989","Niacin, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIP","2019-04-01"
"328990","Riboflavin, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIQ","2019-04-01"
"328991","Selenium, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIR","2019-04-01"
"328992","Sugars, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIS","2019-04-01"
"328993","Thiamin, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIT","2019-04-01"
"328994","Vitamin B6, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIU","2019-04-01"
"328995","Fatty Acids, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIV","2019-04-01"
"328996","Pantothenic Acid, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIW","2019-04-01"
"328997","Proximates, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIX","2019-04-01"
"328998","Vitamin B12, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIY","2019-04-01"
"328999","Vitamin K, Mozzarella cheese, low-moisture, part-skim, KRAFT (IN,NY) - NFY120DIZ","2019-04-01"
"329000","Mozzarella cheese, low-moisture, part-skim, store brand/other brand, CRYSTAL FARMS & KROGER (CO,CT) - CY120IU","2019-04-01"
"329001","Mozzarella, low-moisture, part-skim, store brand/other brand, KROGER (CO1) - NFY120CYW","2019-04-01"
"329002","Mozzarella, low-moisture, part-skim, store brand/other brand, CRYSTAL FARMS (CT1) - NFY120CZ4","2019-04-01"
"329003","Mozzarella, low-moisture, part-skim, store brand/other brand, KROGER (CO1) - NFY120CYT","2019-04-01"
"329004","Mozzarella, low-moisture, part-skim, store brand/other brand, CRYSTAL FARMS (CT1) - NFY120CZ1","2019-04-01"
"329005","Mozzarella, low-moisture, part-skim, store brand/other brand, KROGER (CO1) - NFY120CYV","2019-04-01"
"329006","Mozzarella, low-moisture, part-skim, store brand/other brand, CRYSTAL FARMS (CT1) - NFY120CZ3","2019-04-01"
"329007","Mozzarella, low-moisture, part-skim, store brand/other brand, KROGER (CO1) - NFY120CYU","2019-04-01"
"329008","Mozzarella, low-moisture, part-skim, store brand/other brand, CRYSTAL FARMS (CT1) - NFY120CZ2","2019-04-01"
"329009","Minerals, Mozzarella cheese, low-moisture, part-skim, store brand/other brand, CRYSTAL FARMS & KROGER (CO,CT) - NFY120DJX","2019-04-01"
"329010","Fatty Acids, Mozzarella cheese, low-moisture, part-skim, store brand/other brand, CRYSTAL FARMS & KROGER (CO,CT) - NFY120DJY","2019-04-01"
"329011","Proximates, Mozzarella cheese, low-moisture, part-skim, store brand/other brand, CRYSTAL FARMS & KROGER (CO,CT) - NFY120DJZ","2019-04-01"
"329012","Mozzarella cheese, low-moisture, part-skim, store brand, MY ESSENTIALS & SUNNYSIDE FARMS (CA2,NC) - CY120IY","2019-04-01"
"329013","Mozzarella, low-moisture, part-skim, store brand, MY ESSENTIALS (NC1) - NFY120CZT","2019-04-01"
"329014","Mozzarella, low-moisture, part-skim, store brand, SUNNYSIDE FARMS  (CA2) - NFY120D0C","2019-04-01"
"329015","Mozzarella, low-moisture, part-skim, store brand, SUNNYSIDE FARMS  (CA2) - NFY120D0A","2019-04-01"
"329016","Mozzarella, low-moisture, part-skim, store brand, MY ESSENTIALS (NC1) - NFY120CZW","2019-04-01"
"329017","Mozzarella, low-moisture, part-skim, store brand, SUNNYSIDE FARMS  (CA2) - NFY120D0B","2019-04-01"
"329018","Mozzarella, low-moisture, part-skim, store brand, MY ESSENTIALS (NC1) - NFY120CZV","2019-04-01"
"329019","Mozzarella, low-moisture, part-skim, store brand, SUNNYSIDE FARMS  (CA2) - NFY120D09","2019-04-01"
"329020","Mozzarella, low-moisture, part-skim, store brand, MY ESSENTIALS (NC1) - NFY120CZU","2019-04-01"
"329021","Minerals, Mozzarella cheese, low-moisture, part-skim, store brand, MY ESSENTIALS & SUNNYSIDE FARMS (CA2,NC) - NFY120DLI","2019-04-01"
"329022","Fatty Acids, Mozzarella cheese, low-moisture, part-skim, store brand, MY ESSENTIALS & SUNNYSIDE FARMS (CA2,NC) - NFY120DLJ","2019-04-01"
"329023","Proximates, Mozzarella cheese, low-moisture, part-skim, store brand, MY ESSENTIALS & SUNNYSIDE FARMS (CA2,NC) - NFY120DLK","2019-04-01"
"329024","Mozzarella cheese, low-moisture, part-skim, store brand, HYVEE & PUBLIX (FL,MO) - CY120J0","2019-04-01"
"329025","Mozzarella, low-moisture, part-skim, store brand, HYVEE (MO1) - NFY120CZ9","2019-04-01"
"329026","Mozzarella, low-moisture, part-skim, store brand, PUBLIX (FL) - NFY120CZS","2019-04-01"
"329027","Mozzarella, low-moisture, part-skim, store brand, HYVEE (MO1) - NFY120CZC","2019-04-01"
"329028","Mozzarella, low-moisture, part-skim, store brand, PUBLIX (FL) - NFY120CZP","2019-04-01"
"329029","Mozzarella, low-moisture, part-skim, store brand, HYVEE (MO1) - NFY120CZB","2019-04-01"
"329030","Mozzarella, low-moisture, part-skim, store brand, PUBLIX (FL) - NFY120CZR","2019-04-01"
"329031","Mozzarella, low-moisture, part-skim, store brand, HYVEE (MO1) - NFY120CZA","2019-04-01"
"329032","Mozzarella, low-moisture, part-skim, store brand, PUBLIX (FL) - NFY120CZQ","2019-04-01"
"329033","Minerals, Mozzarella cheese, low-moisture, part-skim, store brand, HYVEE & PUBLIX (FL,MO) - NFY120DM6","2019-04-01"
"329034","Fatty Acids, Mozzarella cheese, low-moisture, part-skim, store brand, HYVEE & PUBLIX (FL,MO) - NFY120DM7","2019-04-01"
"329035","Proximates, Mozzarella cheese, low-moisture, part-skim, store brand, HYVEE & PUBLIX (FL,MO) - NFY120DM8","2019-04-01"
"329036","Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - CY120IV","2019-04-01"
"329037","Mozzarella, low-moisture, part-skim, KRAFT (MI1) - NFY120CXT","2019-04-01"
"329038","Mozzarella, low-moisture, part-skim, KRAFT made with 2% milk for 1/4 less fat (OK1) - NFY120CY1","2019-04-01"
"329039","Mozzarella, low-moisture, part-skim, KRAFT made with 2% milk for 1/4 less fat (OK1) - NFY120CY4","2019-04-01"
"329040","Mozzarella, low-moisture, part-skim, KRAFT (MI1) - NFY120CXV","2019-04-01"
"329041","Mozzarella, low-moisture, part-skim, KRAFT made with 2% milk for 1/4 less fat (OK1) - NFY120CY2","2019-04-01"
"329042","Mozzarella, low-moisture, part-skim, KRAFT (MI1) - NFY120CXW","2019-04-01"
"329043","Mozzarella, low-moisture, part-skim, KRAFT made with 2% milk for 1/4 less fat (OK1) - NFY120CY3","2019-04-01"
"329044","Mozzarella, low-moisture, part-skim, KRAFT (MI1) - NFY120CXU","2019-04-01"
"329045","Tocopherols, Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - NFY120DK5","2019-04-01"
"329046","Cholesterol, Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - NFY120DK6","2019-04-01"
"329047","Folate, Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - NFY120DK7","2019-04-01"
"329048","Minerals, Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - NFY120DK8","2019-04-01"
"329049","Niacin, Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - NFY120DK9","2019-04-01"
"329050","Riboflavin, Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - NFY120DKA","2019-04-01"
"329051","Selenium, Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - NFY120DKB","2019-04-01"
"329052","Thiamin, Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - NFY120DKC","2019-04-01"
"329053","Vitamin B6, Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - NFY120DKD","2019-04-01"
"329054","Fatty Acids, Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - NFY120DKE","2019-04-01"
"329055","Pantothenic Acid, Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - NFY120DKF","2019-04-01"
"329056","Proximates, Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - NFY120DKG","2019-04-01"
"329057","Vitamin B12, Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - NFY120DKH","2019-04-01"
"329058","Mozzarella cheese, low-moisture, part-skim, store brand, GREAT VALUE & SHOP RITE (AL,CT) - CY120IZ","2019-04-01"
"329059","Mozzarella, low-moisture, part-skim, store brand, SHOP RITE (CT1) - NFY120D01","2019-04-01"
"329060","Mozzarella, low-moisture, part-skim, store brand, SHOP RITE (CT1) - NFY120D02","2019-04-01"
"329061","Mozzarella, low-moisture, part-skim, store brand, GREAT VALUE (AL1) - NFY120D0F","2019-04-01"
"329062","Mozzarella, low-moisture, part-skim, store brand, GREAT VALUE (AL1) - NFY120D0E","2019-04-01"
"329063","Mozzarella, low-moisture, part-skim, store brand, GREAT VALUE (AL1) - NFY120D0D","2019-04-01"
"329064","Tocopherols, Mozzarella cheese, low-moisture, part-skim, store brand, GREAT VALUE & SHOP RITE (AL,CT) - NFY120DLP","2019-04-01"
"329065","Cholesterol, Mozzarella cheese, low-moisture, part-skim, store brand, GREAT VALUE & SHOP RITE (AL,CT) - NFY120DLQ","2019-04-01"
"329066","Minerals, Mozzarella cheese, low-moisture, part-skim, store brand, GREAT VALUE & SHOP RITE (AL,CT) - NFY120DLR","2019-04-01"
"329067","Niacin, Mozzarella cheese, low-moisture, part-skim, store brand, GREAT VALUE & SHOP RITE (AL,CT) - NFY120DLS","2019-04-01"
"329068","Riboflavin, Mozzarella cheese, low-moisture, part-skim, store brand, GREAT VALUE & SHOP RITE (AL,CT) - NFY120DLT","2019-04-01"
"329069","Selenium, Mozzarella cheese, low-moisture, part-skim, store brand, GREAT VALUE & SHOP RITE (AL,CT) - NFY120DLU","2019-04-01"
"329070","Thiamin, Mozzarella cheese, low-moisture, part-skim, store brand, GREAT VALUE & SHOP RITE (AL,CT) - NFY120DLV","2019-04-01"
"329071","Vitamin B6, Mozzarella cheese, low-moisture, part-skim, store brand, GREAT VALUE & SHOP RITE (AL,CT) - NFY120DLW","2019-04-01"
"329072","Fatty Acids, Mozzarella cheese, low-moisture, part-skim, store brand, GREAT VALUE & SHOP RITE (AL,CT) - NFY120DLX","2019-04-01"
"329073","Proximates, Mozzarella cheese, low-moisture, part-skim, store brand, GREAT VALUE & SHOP RITE (AL,CT) - NFY120DLY","2019-04-01"
"329074","Vitamin B12, Mozzarella cheese, low-moisture, part-skim, store brand, GREAT VALUE & SHOP RITE (AL,CT) - NFY120DLZ","2019-04-01"
"329075","Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - CY120IX","2019-04-01"
"329076","Mozzarella, low-moisture, part-skim, store brand, LUCERNE (CA1) - NFY120CZX","2019-04-01"
"329077","Mozzarella, low-moisture, part-skim, store brand, LUCERNE (CA1) - NFY120D00","2019-04-01"
"329078","Mozzarella, low-moisture, part-skim, store brand, LUCERNE (CO1) - NFY120D06","2019-04-01"
"329079","Mozzarella, low-moisture, part-skim, store brand, LUCERNE (CO1) - NFY120D07","2019-04-01"
"329080","Mozzarella, low-moisture, part-skim, store brand, LUCERNE (CA1) - NFY120CZY","2019-04-01"
"329081","Mozzarella, low-moisture, part-skim, store brand, LUCERNE (CO1) - NFY120D08","2019-04-01"
"329082","Mozzarella, low-moisture, part-skim, store brand, LUCERNE (CA1) - NFY120CZZ","2019-04-01"
"329083","Mozzarella, low-moisture, part-skim, store brand, LUCERNE (CO1) - NFY120D05","2019-04-01"
"329084","Riboflavin, Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - NFY120DL1","2019-04-01"
"329085","Selenium, Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - NFY120DL2","2019-04-01"
"329086","Sugars, Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - NFY120DL3","2019-04-01"
"329087","Thiamin, Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - NFY120DL4","2019-04-01"
"329088","Vitamin B6, Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - NFY120DL5","2019-04-01"
"329089","Fatty Acids, Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - NFY120DL6","2019-04-01"
"329090","Pantothenic Acid, Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - NFY120DL7","2019-04-01"
"329091","Proximates, Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - NFY120DL8","2019-04-01"
"329092","Vitamin B12, Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - NFY120DL9","2019-04-01"
"329093","Retinol, Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - NFY120DKW","2019-04-01"
"329094","Tocopherols, Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - NFY120DKX","2019-04-01"
"329095","Cholesterol, Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - NFY120DKY","2019-04-01"
"329096","Minerals, Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - NFY120DKZ","2019-04-01"
"329097","Niacin, Mozzarella cheese, low-moisture, part-skim, store brand, LUCERNE (CA1,CO) - NFY120DL0","2019-04-01"
"329098","Mozzarella cheese, low-moisture, part-skim, store brand, KROGER (MI,IN) - CY120J1","2019-04-01"
"329099","Mozzarella, low-moisture, part-skim, store brand, KROGER (MI1) - NFY120CZD","2019-04-01"
"329100","Mozzarella, low-moisture, part-skim, store brand, KROGER (MI1) - NFY120CZF","2019-04-01"
"329101","Mozzarella, low-moisture, part-skim, store brand, KROGER (IN1) - NFY120CZJ","2019-04-01"
"329102","Mozzarella, low-moisture, part-skim, store brand, KROGER (MI1) - NFY120CZG","2019-04-01"
"329103","Mozzarella, low-moisture, part-skim, store brand, KROGER (IN1) - NFY120CZK","2019-04-01"
"329104","Mozzarella, low-moisture, part-skim, store brand, KROGER (IN1) - NFY120CZH","2019-04-01"
"329105","Mozzarella, low-moisture, part-skim, store brand, KROGER (MI1) - NFY120CZE","2019-04-01"
"329106","Mozzarella, low-moisture, part-skim, store brand, KROGER (IN1) - NFY120CZI","2019-04-01"
"329107","Tocopherols, Mozzarella cheese, low-moisture, part-skim, store brand, KROGER (MI,IN) - NFY120DMD","2019-04-01"
"329108","Cholesterol, Mozzarella cheese, low-moisture, part-skim, store brand, KROGER (MI,IN) - NFY120DME","2019-04-01"
"329109","Minerals, Mozzarella cheese, low-moisture, part-skim, store brand, KROGER (MI,IN) - NFY120DMF","2019-04-01"
"329110","Niacin, Mozzarella cheese, low-moisture, part-skim, store brand, KROGER (MI,IN) - NFY120DMG","2019-04-01"
"329111","Riboflavin, Mozzarella cheese, low-moisture, part-skim, store brand, KROGER (MI,IN) - NFY120DMH","2019-04-01"
"329112","Selenium, Mozzarella cheese, low-moisture, part-skim, store brand, KROGER (MI,IN) - NFY120DMI","2019-04-01"
"329113","Thiamin, Mozzarella cheese, low-moisture, part-skim, store brand, KROGER (MI,IN) - NFY120DMJ","2019-04-01"
"329114","Vitamin B6, Mozzarella cheese, low-moisture, part-skim, store brand, KROGER (MI,IN) - NFY120DMK","2019-04-01"
"329115","Fatty Acids, Mozzarella cheese, low-moisture, part-skim, store brand, KROGER (MI,IN) - NFY120DML","2019-04-01"
"329116","Pantothenic Acid, Mozzarella cheese, low-moisture, part-skim, store brand, KROGER (MI,IN) - NFY120DMM","2019-04-01"
"329117","Proximates, Mozzarella cheese, low-moisture, part-skim, store brand, KROGER (MI,IN) - NFY120DMN","2019-04-01"
"329118","Vitamin B12, Mozzarella cheese, low-moisture, part-skim, store brand, KROGER (MI,IN) - NFY120DMO","2019-04-01"
"329119","Mozzarella cheese, low-moisture, part-skim, SARGENTO (IN,NY) - CY120LU","2019-04-01"
"329120","Mozzarella, low-moisture, part-skim, SARGENTO (IN1) - NFY120CXM","2019-04-01"
"329121","Mozzarella, low-moisture, part-skim, SARGENTO (NY) - NFY120CWV","2019-04-01"
"329122","Mozzarella, low-moisture, part-skim, SARGENTO (NY) - NFY120CWY","2019-04-01"
"329123","Mozzarella, low-moisture, part-skim, SARGENTO (IN1) - NFY120CXN","2019-04-01"
"329124","Mozzarella, low-moisture, part-skim, SARGENTO (NY) - NFY120CWX","2019-04-01"
"329125","Mozzarella, low-moisture, part-skim, SARGENTO (IN1) - NFY120CXO","2019-04-01"
"329126","Mozzarella, low-moisture, part-skim, SARGENTO (NY) - NFY120CWW","2019-04-01"
"329127","Mozzarella, low-moisture, part-skim, SARGENTO (IN1) - NFY120CXL","2019-04-01"
"329128","Minerals, Mozzarella cheese, low-moisture, part-skim, SARGENTO (IN,NY) - NFY120E86","2019-04-01"
"329129","Fatty Acids, Mozzarella cheese, low-moisture, part-skim, SARGENTO (IN,NY) - NFY120E87","2019-04-01"
"329130","Proximates, Mozzarella cheese, low-moisture, part-skim, SARGENTO (IN,NY) - NFY120E88","2019-04-01"
"329131","Cheese, string (low-moisture, part-skim mozzarella), KRAFT (IA) -  CY121HI","2019-04-01"
"329132","Cheese, string (low-moisture, part-skim mozzarella), KRAFT (IA) NFY120XGO","2019-04-01"
"329133","Cheese, string (low-moisture, part-skim mozzarella), KRAFT (IA) NFY120XGP","2019-04-01"
"329134","Cheese, string (low-moisture, part-skim mozzarella), KRAFT (IA) NFY120XGQ","2019-04-01"
"329135","Minerals, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (IA) - NFY120X51","2019-04-01"
"329136","Proximates, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (IA) - NFY120X52","2019-04-01"
"329137","Fatty Acids, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (IA) - NFY120X53","2019-04-01"
"329138","Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (PA, CA1) -  CY121HJ","2019-04-01"
"329139","Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (CA1) NFY120XGX","2019-04-01"
"329140","Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (PA1) NFY120XH1","2019-04-01"
"329141","Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (CA1) NFY120XGY","2019-04-01"
"329142","Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (PA1) NFY120XH0","2019-04-01"
"329143","Minerals, Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (PA,CA1) - NFY120X59","2019-04-01"
"329144","Fatty Acids, Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (PA,CA1) - NFY120X5A","2019-04-01"
"329145","Pantothenic Acid, Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (PA,CA1) - NFY120X5B","2019-04-01"
"329146","Proximates, Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (PA,CA1) - NFY120X5C","2019-04-01"
"329147","Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (KY, CA2) -  CY121HK","2019-04-01"
"329148","Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (CA2) NFY120XGT","2019-04-01"
"329149","Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (KY1) NFY120XGW","2019-04-01"
"329150","Minerals, Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (KY,CA2) - NFY120X5H","2019-04-01"
"329151","Niacin, Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (KY,CA2) - NFY120X5I","2019-04-01"
"329152","Riboflavin, Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (KY,CA2) - NFY120X5J","2019-04-01"
"329153","Thiamin, Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (KY,CA2) - NFY120X5K","2019-04-01"
"329154","Vitamin B6, Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (KY,CA2) - NFY120X5L","2019-04-01"
"329155","Fatty Acids, Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (KY,CA2) - NFY120X5M","2019-04-01"
"329156","Proximates, Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (KY,CA2) - NFY120X5N","2019-04-01"
"329157","Vitamin B12, Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (KY,CA2) - NFY120X5O","2019-04-01"
"329158","Cholesterol, Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (KY,CA2) - NFY120X5Q","2019-04-01"
"329159","Vitamin K, Cheese, string (low-moisture, part-skim mozzarella), SARGENTO (KY,CA2) - NFY120X5P","2019-04-01"
"329160","Cheese, string (low-moisture, part-skim mozzarella), KRAFT (NE) -  CY121HG","2019-04-01"
"329161","Cheese, string (low-moisture, part-skim mozzarella), KRAFT (NE1) NFY120XFS","2019-04-01"
"329162","Cheese, string (low-moisture, part-skim mozzarella), KRAFT (NE1) NFY120XFT","2019-04-01"
"329163","Proximates, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (NE) - NFY120X42","2019-04-01"
"329164","Riboflavin, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (NE) - NFY120X43","2019-04-01"
"329165","Thiamin, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (NE) - NFY120X44","2019-04-01"
"329166","Vitamin B6, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (NE) - NFY120X45","2019-04-01"
"329167","Fatty Acids, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (NE) - NFY120X46","2019-04-01"
"329168","Vitamin B12, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (NE) - NFY120X47","2019-04-01"
"329169","Retinol, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (NE) - NFY120X3Z","2019-04-01"
"329170","Minerals, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (NE) - NFY120X40","2019-04-01"
"329171","Niacin, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (NE) - NFY120X41","2019-04-01"
"329172","Cholesterol, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (NE) - NFY120X49","2019-04-01"
"329173","Vitamin K, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (NE) - NFY120X48","2019-04-01"
"329174","Cheese, string (low-moisture, part-skim mozzarella), KRAFT (CA1) -  CY121HF","2019-04-01"
"329175","Cheese, string (low-moisture, part-skim mozzarella), KRAFT (CA1) NFY120XFK","2019-04-01"
"329176","Cheese, string (low-moisture, part-skim mozzarella), KRAFT (CA1) NFY120XFL","2019-04-01"
"329177","Proximates, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (CA1) - NFY120X3I","2019-04-01"
"329178","Riboflavin, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (CA1) - NFY120X3J","2019-04-01"
"329179","Selenium, Cheese, string (low-moisture, part-skim mozzarella), KRAFT (CA1) - NFY120X3K","2019-04-01"
