"food_nutrient_id","adjusted_amount","lab_method_id","nutrient_name"
"2201982","0.003","1042","18:2 conj Linoleic"
"2201983","","1042","4:0 Butanoic (Butyric)"
"2201984","","1042","6:0 Hexanoic (Caproic)"
"2201985","","1042","8:0 Octanoic (Caprylic)"
"2201986","","1042","10:0 Decanoic (Capric)"
"2201987","","1042","11:0 Undecanoic"
"2201988","","1042","12:0 Dodecanoic (Lauric)"
"2201989","","1042","15:1 Pentadecenoic"
"2201990","","1042","16:1 trans-Hexadecenoic"
"2201991","","1042","18:4 Octadecatetraenoic (Moroctic)"
"2201992","0.009","1042","14:0 Tetradecanoic (Myristic)"
"2201993","","1042","20:3 8,11,14-Eicosatrienoic (gamma)"
"2201994","","1042","22:1 trans-Docosaenoic (Brassidic)"
"2201995","","1042","20:3 11,14,17-Eicosatrienoic"
"2201996","","1042","22:2 Docosadienoic"
"2201997","","1042","20:5 Eicosapentaenoic"
"2201998","","1042","24:1 Tetracosaenoic (Nervonic)"
"2201999","","1042","22:4 Docosatetraenoic"
"2202000","","1042","22:5 Docosapentaenoic"
"2202001","","1042","22:6 Docosahexaenoic"
"2202002","","1042","18:3 trans-Octadecatrienoic"
"2202003","0.006","1042","20:4  Eicosatetraenoic (Arachidonic)"
"2202004","0.008","1042","17:1 Heptadecenoic (Margaroleic)"
"2202005","8.3","1042","18:2 Octadecadienoic (Linoleic)"
"2202006","4.87","1042","18:1 Octadecenoic (incl. Oleic)"
"2202007","1.71","1042","16:0 Hexadecanoic (Palmitic)"
"2202008","0.742","1042","18:3 Octadecatrienoic (Linolenic)"
"2202009","0.741","1042","18:0 Octadecanoic (Stearic)"
"2202010","0.072","1042","20:0 Eicosanoic (Arachidic)"
"2202011","0.052","1042","22:0 Docosanoic (Behenic)"
"2202012","0.044","1042","24:0 Tetracosanoic (Lignoceric)"
"2202013","0.015","1042","16:1 Hexadecenoic (Palmitoleic)"
"2202014","0.012","1042","17:0 Heptadecanoic (Margaric)"
"2202015","0.012","1042","18:2 trans-Octadecadienoic"
"2202016","0.011","1042","18:3 g-Linolenic"
"2202017","8.0","1023","Ewers starch"
"2202018","2.02","1004","Ash"
"2202019","1.26","1001","Nitrogen by Dumas"
"2202020","18.0","1053","Fat"
"2202021","57.3","1007","Moisture"
"2202022","52.7","1017","Folic Acid"
"2202023","1.45","1009","Zinc"
"2202024","406.0","1009","Sodium"
"2202025","315.0","1009","Potassium"
"2202026","45.7","1009","Calcium"
"2202027","0.396","1009","Copper"
"2202028","2.33","1009","Iron"
"2202029","70.4","1009","Magnesium"
"2202030","1.21","1009","Manganese"
"2202031","181.0","1009","Phosphorus"
"2202032","0.12","1013","Riboflavin"
"2202033","1.03","1014","Niacin"
"2202034","0.25","1024","Maltose"
"2202035","0.25","1024","Lactose"
"2202036","0.25","1024","Glucose"
"2202037","0.3","1024","Fructose"
"2202038","0.37","1024","Sucrose"
"2202039","0.1","1030","Galactose"
"2202040","5.37","1008","TDF"
"2202041","0.16","1034","Thiamine"
"2202042","0.13","1038","Vitamin B6"
"2202043","0.363","1052","beta-Tocopherol"
"2202044","","1052","alpha-Tocotrienol"
"2202045","","1052","beta-Tocotrienol"
"2202046","11.7","1052","gamma-Tocopherol"
"2202047","2.47","1052","delta-Tocopherol"
"2202048","","1052","gamma-Tocotrienol"
"2202049","1.49","1052","alpha-Tocopherol"
"2202050","","1052","delta-Tocotrienol"
"2202051","","1056","Vitamin C"
"2202052","0.047","1042","20:1 Eicosenoic (incl. Gadoleic)"
"2202053","","1042","22:1 Docosaenoic (Erucic)"
"2202054","","1042","14:1 Tetradecenoic (Myristoleic)"
"2202055","0.014","1042","18:3 g-Linolenic"
"2202056","","1042","12:0 Dodecanoic (Lauric)"
"2202057","8.44","1042","18:2 Octadecadienoic (Linoleic)"
"2202058","5.0","1042","18:1 Octadecenoic (incl. Oleic)"
"2202059","1.74","1042","16:0 Hexadecanoic (Palmitic)"
"2202060","0.751","1042","18:0 Octadecanoic (Stearic)"
"2202061","0.73","1042","18:3 Octadecatrienoic (Linolenic)"
"2202062","0.074","1042","20:0 Eicosanoic (Arachidic)"
"2202063","0.041","1042","22:0 Docosanoic (Behenic)"
"2202064","0.016","1042","16:1 Hexadecenoic (Palmitoleic)"
"2202065","0.013","1042","17:0 Heptadecanoic (Margaric)"
"2202066","0.013","1042","18:2 trans-Octadecadienoic"
"2202067","0.01","1042","14:0 Tetradecanoic (Myristic)"
"2202068","0.008","1042","17:1 Heptadecenoic (Margaroleic)"
"2202069","0.008","1042","18:1 trans-Octadecenoic (incl. Elaidic)"
"2202070","0.006","1042","20:4  Eicosatetraenoic (Arachidonic)"
"2202071","0.004","1042","15:0 Pentadecanoic"
"2202072","0.003","1042","18:2 conj Linoleic"
"2202073","0.003","1042","20:2 Eicosadienoic"
"2202074","","1042","4:0 Butanoic (Butyric)"
"2202075","","1042","6:0 Hexanoic (Caproic)"
"2202076","","1042","8:0 Octanoic (Caprylic)"
"2202077","","1042","10:0 Decanoic (Capric)"
"2202078","0.019","1042","24:0 Tetracosanoic (Lignoceric)"
"2202079","","1042","20:3 11,14,17-Eicosatrienoic"
"2202080","","1042","22:1 trans-Docosaenoic (Brassidic)"
"2202081","","1042","20:3 8,11,14-Eicosatrienoic (gamma)"
"2202082","","1042","20:3 5,8,11-Eicosatrienoic"
"2202083","","1042","18:4 Octadecatetraenoic (Moroctic)"
"2202084","","1042","18:3 trans-Octadecatrienoic"
"2202085","","1042","16:1 trans-Hexadecenoic"
"2202086","","1042","15:1 Pentadecenoic"
"2202087","","1042","22:2 Docosadienoic"
"2202088","","1042","11:0 Undecanoic"
"2202089","","1042","22:5 Docosapentaenoic"
"2202090","","1042","22:6 Docosahexaenoic"
"2202091","","1042","22:4 Docosatetraenoic"
"2202092","","1042","24:1 Tetracosaenoic (Nervonic)"
"2202093","","1042","20:5 Eicosapentaenoic"
"2202094","8.0","1023","Ewers starch"
"2202095","2.12","1004","Ash"
"2202096","1.25","1001","Nitrogen by Dumas"
"2202097","18.2","1053","Fat"
"2202098","57.2","1007","Moisture"
"2202099","49.2","1017","Folic Acid"
"2202100","1.46","1009","Zinc"
"2202101","423.0","1009","Sodium"
"2202102","317.0","1009","Potassium"
"2202103","186.0","1009","Phosphorus"
"2202104","1.16","1009","Manganese"
"2202105","82.0","1009","Magnesium"
"2202106","2.58","1009","Iron"
"2202107","0.379","1009","Copper"
"2202108","47.9","1009","Calcium"
"2202109","0.13","1013","Riboflavin"
"2202110","1.02","1014","Niacin"
"2202111","5.46","1008","TDF"
"2202112","0.16","1034","Thiamine"
"2202113","0.16","1038","Vitamin B6"
"2202114","23.3","1048","Phylloquinone"
"2202115","","1048","MK-4"
"2202116","","1049","Dihydrophylloquinone"
"2202117","46.6","1043","Total Choline"
"2202118","1.15","1043","GPC"
"2202119","0.232","1043","Betaine"
"2202120","","1043","SM"
"2202121","22.3","1043","Choline"
"2202122","0.243","1043","PCho"
"2202123","23.0","1043","PtdCho"
"2202124","0.354","1052","beta-Tocopherol"
"2202125","","1052","alpha-Tocotrienol"
"2202126","","1052","beta-Tocotrienol"
"2202127","10.8","1052","gamma-Tocopherol"
"2202128","2.09","1052","delta-Tocopherol"
"2202129","","1052","gamma-Tocotrienol"
"2202130","1.4","1052","alpha-Tocopherol"
"2202131","","1052","delta-Tocotrienol"
"2202132","","1056","Vitamin C"
"2202133","","1042","14:1 Tetradecenoic (Myristoleic)"
"2202134","0.004","1042","22:1 Docosaenoic (Erucic)"
"2202135","0.117","1042","20:1 Eicosenoic (incl. Gadoleic)"
"2202136","","1042","16:1 trans-Hexadecenoic"
"2202137","0.006","1042","17:0 Heptadecanoic (Margaric)"
"2202138","0.005","1042","17:1 Heptadecenoic (Margaroleic)"
"2202139","0.005","1042","20:2 Eicosadienoic"
"2202140","0.004","1042","15:0 Pentadecanoic"
"2202141","0.004","1042","18:1 trans-Octadecenoic (incl. Elaidic)"
"2202142","0.003","1042","18:2 conj Linoleic"
"2202143","0.003","1042","20:4  Eicosatetraenoic (Arachidonic)"
"2202144","","1042","4:0 Butanoic (Butyric)"
"2202145","","1042","6:0 Hexanoic (Caproic)"
"2202146","","1042","8:0 Octanoic (Caprylic)"
"2202147","","1042","10:0 Decanoic (Capric)"
"2202148","","1042","11:0 Undecanoic"
"2202149","","1042","15:1 Pentadecenoic"
"2202150","0.011","1042","24:1 Tetracosaenoic (Nervonic)"
"2202151","","1042","18:3 trans-Octadecatrienoic"
"2202152","","1042","18:4 Octadecatetraenoic (Moroctic)"
"2202153","","1042","20:3 5,8,11-Eicosatrienoic"
"2202154","","1042","20:3 8,11,14-Eicosatrienoic (gamma)"
"2202155","","1042","22:1 trans-Docosaenoic (Brassidic)"
"2202156","","1042","20:3 11,14,17-Eicosatrienoic"
"2202157","","1042","22:2 Docosadienoic"
"2202158","","1042","20:5 Eicosapentaenoic"
"2202159","","1042","22:4 Docosatetraenoic"
"2202160","","1042","22:5 Docosapentaenoic"
"2202161","","1042","22:6 Docosahexaenoic"
"2202162","","1042","12:0 Dodecanoic (Lauric)"
"2202163","0.008","1042","18:2 trans-Octadecadienoic"
"2202164","0.008","1042","14:0 Tetradecanoic (Myristic)"
"2202165","6.93","1042","18:1 Octadecenoic (incl. Oleic)"
"2202166","4.78","1042","18:2 Octadecadienoic (Linoleic)"
"2202167","1.05","1042","16:0 Hexadecanoic (Palmitic)"
"2202168","0.6","1042","18:3 Octadecatrienoic (Linolenic)"
"2202169","0.478","1042","18:0 Octadecanoic (Stearic)"
"2202170","0.083","1042","20:0 Eicosanoic (Arachidic)"
"2202171","0.031","1042","22:0 Docosanoic (Behenic)"
"2202172","0.027","1042","16:1 Hexadecenoic (Palmitoleic)"
"2202173","0.023","1042","18:3 g-Linolenic"
"2202174","0.02","1042","24:0 Tetracosanoic (Lignoceric)"
"2202175","8.8","1023","Ewers starch"
"2202176","1.73","1004","Ash"
"2202177","1.11","1001","Nitrogen by Dumas"
"2202178","14.8","1053","Fat"
"2202179","60.6","1007","Moisture"
"2202180","13.0","1017","Folic Acid"
"2202181","32.3","1010","Selenium"
"2202182","1.26","1009","Zinc"
"2202183","450.0","1009","Sodium"
"2202184","231.0","1009","Potassium"
"2202185","145.0","1009","Phosphorus"
"2202186","0.824","1009","Manganese"
"2202187","65.1","1009","Magnesium"
"2202188","1.87","1009","Iron"
"2202189","0.319","1009","Copper"
"2202190","25.8","1009","Calcium"
"2202191","0.1","1013","Riboflavin"
"2202192","0.88","1014","Niacin"
"2202193","5.66","1008","TDF"
"2202194","0.12","1034","Thiamine"
"2202195","0.15","1038","Vitamin B6"
"2202196","0.216","1052","beta-Tocopherol"
"2202197","1.51","1052","alpha-Tocopherol"
"2202198","","1052","alpha-Tocotrienol"
"2202199","","1052","beta-Tocotrienol"
"2202200","7.68","1052","gamma-Tocopherol"
"2202201","0.28","1052","delta-Tocopherol"
"2202202","","1052","gamma-Tocotrienol"
"2202203","","1052","delta-Tocotrienol"
"2202204","0.5","1056","Vitamin C"
"2202205","1.91","1004","Ash"
"2202206","1.04","1001","Nitrogen by Dumas"
"2202207","11.9","1053","Fat"
"2202208","65.6","1007","Moisture"
"2202209","0.3","1015","Pantothenic Acid"
"2202210","134.0","1009","Phosphorus"
"2202211","0.785","1009","Manganese"
"2202212","56.6","1009","Magnesium"
"2202213","2.69","1009","Iron"
"2202214","0.27","1009","Copper"
"2202215","31.7","1009","Calcium"
"2202216","440.0","1009","Sodium"
"2202217","1.17","1009","Zinc"
"2202218","271.0","1009","Potassium"
"2202219","","1042","14:1 Tetradecenoic (Myristoleic)"
"2202220","0.126","1042","20:1 Eicosenoic (incl. Gadoleic)"
"2202221","0.002","1042","22:1 Docosaenoic (Erucic)"
"2202222","","1042","10:0 Decanoic (Capric)"
"2202223","","1042","22:6 Docosahexaenoic"
"2202224","","1042","12:0 Dodecanoic (Lauric)"
"2202225","","1042","15:1 Pentadecenoic"
"2202226","","1042","16:1 trans-Hexadecenoic"
"2202227","","1042","18:3 trans-Octadecatrienoic"
"2202228","","1042","18:4 Octadecatetraenoic (Moroctic)"
"2202229","","1042","20:3 5,8,11-Eicosatrienoic"
"2202230","","1042","20:3 8,11,14-Eicosatrienoic (gamma)"
"2202231","","1042","22:1 trans-Docosaenoic (Brassidic)"
"2202232","","1042","20:3 11,14,17-Eicosatrienoic"
"2202233","","1042","22:2 Docosadienoic"
"2202234","","1042","20:5 Eicosapentaenoic"
"2202235","","1042","22:5 Docosapentaenoic"
"2202236","","1042","22:4 Docosatetraenoic"
"2202237","","1042","8:0 Octanoic (Caprylic)"
"2202238","","1042","11:0 Undecanoic"
"2202239","0.028","1042","24:0 Tetracosanoic (Lignoceric)"
"2202240","6.95","1042","18:1 Octadecenoic (incl. Oleic)"
"2202241","4.99","1042","18:2 Octadecadienoic (Linoleic)"
"2202242","1.05","1042","16:0 Hexadecanoic (Palmitic)"
"2202243","0.612","1042","18:3 Octadecatrienoic (Linolenic)"
"2202244","0.493","1042","18:0 Octadecanoic (Stearic)"
"2202245","0.083","1042","20:0 Eicosanoic (Arachidic)"
"2202246","0.029","1042","18:3 g-Linolenic"
"2202247","0.023","1042","16:1 Hexadecenoic (Palmitoleic)"
"2202248","0.01","1042","24:1 Tetracosaenoic (Nervonic)"
"2202249","0.009","1042","18:2 trans-Octadecadienoic"
"2202250","0.008","1042","14:0 Tetradecanoic (Myristic)"
"2202251","0.007","1042","17:0 Heptadecanoic (Margaric)"
"2202252","0.006","1042","17:1 Heptadecenoic (Margaroleic)"
"2202253","0.006","1042","20:2 Eicosadienoic"
"2202254","0.004","1042","15:0 Pentadecanoic"
"2202255","0.004","1042","18:1 trans-Octadecenoic (incl. Elaidic)"
"2202256","0.003","1042","20:4  Eicosatetraenoic (Arachidonic)"
"2202257","0.002","1042","18:2 conj Linoleic"
"2202258","","1042","4:0 Butanoic (Butyric)"
"2202259","","1042","6:0 Hexanoic (Caproic)"
"2202260","0.036","1042","22:0 Docosanoic (Behenic)"
"2202261","8.0","1023","Ewers starch"
"2202262","1.99","1004","Ash"
"2202263","1.09","1001","Nitrogen by Dumas"
"2202264","15.2","1053","Fat"
"2202265","60.5","1007","Moisture"
"2202266","17.8","1017","Folic Acid"
"2202267","0.26","1015","Pantothenic Acid"
"2202268","0.34","1009","Copper"
"2202269","1.46","1009","Zinc"
"2202270","452.0","1009","Sodium"
"2202271","267.0","1009","Potassium"
"2202272","160.0","1009","Phosphorus"
"2202273","1.04","1009","Manganese"
"2202274","2.03","1009","Iron"
"2202275","27.7","1009","Calcium"
"2202276","74.4","1009","Magnesium"
"2202277","0.12","1013","Riboflavin"
"2202278","0.85","1014","Niacin"
"2202279","0.25","1024","Sucrose"
"2202280","0.25","1024","Fructose"
"2202281","0.25","1024","Glucose"
"2202282","0.25","1024","Lactose"
"2202283","0.25","1024","Maltose"
"2202284","0.1","1030","Galactose"
"2202285","5.52","1008","TDF"
"2202286","0.13","1034","Thiamine"
"2202287","0.11","1038","Vitamin B6"
"2202288","0.222","1052","beta-Tocopherol"
"2202289","","1052","alpha-Tocotrienol"
"2202290","","1052","beta-Tocotrienol"
"2202291","8.4","1052","gamma-Tocopherol"
"2202292","0.332","1052","delta-Tocopherol"
"2202293","","1052","gamma-Tocotrienol"
"2202294","1.62","1052","alpha-Tocopherol"
"2202295","","1052","delta-Tocotrienol"
"2202296","0.5","1056","Vitamin C"
"2202297","","1042","14:1 Tetradecenoic (Myristoleic)"
"2202298","0.119","1042","20:1 Eicosenoic (incl. Gadoleic)"
"2202299","0.004","1042","22:1 Docosaenoic (Erucic)"
"2202300","8.73","1042","18:1 Octadecenoic (incl. Oleic)"
"2202301","0.567","1042","18:0 Octadecanoic (Stearic)"
"2202302","5.76","1042","18:2 Octadecadienoic (Linoleic)"
"2202303","","1042","22:2 Docosadienoic"
"2202304","","1042","20:5 Eicosapentaenoic"
"2202305","","1042","22:4 Docosatetraenoic"
"2202306","","1042","22:5 Docosapentaenoic"
"2202307","","1042","22:6 Docosahexaenoic"
"2202308","","1042","22:1 trans-Docosaenoic (Brassidic)"
"2202309","","1042","20:3 8,11,14-Eicosatrienoic (gamma)"
"2202310","0.005","1042","20:4  Eicosatetraenoic (Arachidonic)"
"2202311","0.411","1042","18:3 Octadecatrienoic (Linolenic)"
"2202312","0.083","1042","20:0 Eicosanoic (Arachidic)"
"2202313","0.062","1042","22:0 Docosanoic (Behenic)"
"2202314","0.03","1042","24:0 Tetracosanoic (Lignoceric)"
"2202315","0.027","1042","18:3 g-Linolenic"
"2202316","0.026","1042","16:1 Hexadecenoic (Palmitoleic)"
"2202317","0.017","1042","18:2 trans-Octadecadienoic"
"2202318","0.01","1042","17:0 Heptadecanoic (Margaric)"
"2202319","0.01","1042","17:1 Heptadecenoic (Margaroleic)"
"2202320","0.009","1042","18:1 trans-Octadecenoic (incl. Elaidic)"
"2202321","0.008","1042","14:0 Tetradecanoic (Myristic)"
"2202322","","1042","20:3 11,14,17-Eicosatrienoic"
"2202323","0.005","1042","20:2 Eicosadienoic"
"2202324","1.16","1042","16:0 Hexadecanoic (Palmitic)"
"2202325","0.003","1042","15:0 Pentadecanoic"
"2202326","0.003","1042","18:2 conj Linoleic"
"2202327","","1042","4:0 Butanoic (Butyric)"
"2202328","","1042","6:0 Hexanoic (Caproic)"
"2202329","","1042","8:0 Octanoic (Caprylic)"
"2202330","","1042","10:0 Decanoic (Capric)"
"2202331","","1042","11:0 Undecanoic"
"2202332","","1042","12:0 Dodecanoic (Lauric)"
"2202333","","1042","15:1 Pentadecenoic"
"2202334","","1042","16:1 trans-Hexadecenoic"
"2202335","","1042","18:3 trans-Octadecatrienoic"
"2202336","","1042","18:4 Octadecatetraenoic (Moroctic)"
"2202337","","1042","20:3 5,8,11-Eicosatrienoic"
"2202338","0.008","1042","24:1 Tetracosaenoic (Nervonic)"
"2202339","7.7","1023","Ewers starch"
"2202340","1.93","1004","Ash"
"2202341","0.992","1001","Nitrogen by Dumas"
"2202342","18.8","1053","Fat"
"2202343","59.3","1007","Moisture"
"2202344","33.5","1017","Folic Acid"
"2202345","0.281","1009","Copper"
"2202346","1.25","1009","Zinc"
"2202347","457.0","1009","Sodium"
"2202348","239.0","1009","Potassium"
"2202349","137.0","1009","Phosphorus"
"2202350","0.941","1009","Manganese"
"2202351","2.24","1009","Iron"
"2202352","29.5","1009","Calcium"
"2202353","65.0","1009","Magnesium"
"2202354","0.08","1013","Riboflavin"
"2202355","0.82","1014","Niacin"
"2202356","4.87","1008","TDF"
"2202357","0.16","1034","Thiamine"
"2202358","0.16","1038","Vitamin B6"
"2202359","11.2","1048","Phylloquinone"
"2202360","","1048","MK-4"
"2202361","","1049","Dihydrophylloquinone"
"2202362","0.333","1052","beta-Tocopherol"
"2202363","","1052","alpha-Tocotrienol"
"2202364","","1052","beta-Tocotrienol"
"2202365","6.32","1052","gamma-Tocopherol"
"2202366","0.257","1052","delta-Tocopherol"
"2202367","","1052","gamma-Tocotrienol"
"2202368","2.89","1052","alpha-Tocopherol"
"2202369","","1052","delta-Tocotrienol"
"2202370","","1056","Vitamin C"
"2202490","0.67","1022","Ash"
"2202491","1.8","1019","Fat - Mojonnier"
"2202492","89.1","1027","Moisture - Forced Air Oven"
"2202493","0.54","1018","Nitrogen - Kjeldahl"
"2202494","0.0053","1045","25 Hydroxy Vitamin D "
"2202495","0.1","1045","Total Vitamin D2 (mcg units)"
"2202496","1.25","1045","Total Vitamin D3 (mcg units)"
"2202497","7.76","1061","Cholesterol"
"2202498","35.2","1071","Iodine"
"2202499","0.68","1022","Ash"
"2202500","1.91","1019","Fat - Mojonnier"
