Table,Number of Records
acquisition_sample,6729
agricultural_acquisition,810
food,43446
food_attribute,3635
food_calorie_conversion_factor,204
food_component,3066
food_nutrient,1349920
food_nutrient_conversion_factor,384
food_portion,10678
food_protein_conversion_factor,180
food_update_log_entry,43446
foundation_food,184
input_food,4406
market_acquisition,5945
sample_food,2447
sub_sample_food,33994
sub_sample_result,85773
