"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code"
"320009","HUMMUS, OTHER","2015-12-07","","AZ1","","","10:48:00 AM","","TUCSON","BASHAS MARKET","AZ","44115412013"
"320010","HUMMUS, OTHER","2015-12-07","","AZ1","","","10:48:00 AM","","TUCSON","BASHAS MARKET","AZ","44115412013"
"320026","MILK, 2% (WAVE 22E)","2018-04-25","","TX1","","","PT9 C1 481841","","HOUSTON ","HEB","TX","041220628711"
"320032","MILK, 2% (WAVE 22E)","2018-04-22","","CA2","","","0942 J 06-2796","","BONITA","VONS MARKET","CA","021130070114"
"320038","MILK, 2% (WAVE 22E)","2018-05-02","","NE1","","","1491913","","HASTINGS","WALMART","NE","78742352015"
"320044","MILK, 2% (WAVE 22E)","2018-04-23","","IA","","","46-138 0121 092","","ESTHERVILLE","FAREWAY","IA","078742351872"
"320063","MILK, 2% (WAVE 22E)","2018-04-24","","KY1","","","AG1 21008","","HARRODSBURG","WALMART","KY","78742351872"
"320086","MILK, 2% (WAVE 22E)","2018-04-19","","NJ1","","","431","","NEW BRUNSWICK","SAKER SHOPRITE","NJ","41190458004"
"320105","MILK, 2% (WAVE 22E)","2018-04-29","","CA1","","","F3 PLT 06102041","","PALMDALE","WALMART","CA","41900076634"
"320125","MILK, 2% (WAVE 22E)","2018-04-23","","PA1","","","3986 1932","","PITTSBURGH","SHOP N SAVE","PA","071580000315"
"320144","MILK, 2% (WAVE 22E)","2018-05-01","","IN1","","","15021855","","NEWBURGH","SCHNUCK MARKET","IN","72730222021"
"320166","MILK, 2% (WAVE 22E)","2018-04-24","","GA1","","","E0921","","LOCUST GROVE","INGLES","GA","086854009185"
"320173","MILK, 2% (WAVE 22E)","2018-05-07","","TX2","","","124835F254","","GRAPEVINE","WALMART","TX","NFY121QIT"
"320180","MILK, 2% (WAVE 22E)","2018-05-06","","CA3","","","L3PLT067071640","","LIVERMORE","LUCKY","CA","717544204916"
"320186","MILK, 2% (WAVE 22E)","2018-05-03","","NC2","","","3708713543","","CHARLOTTE","HARRIS TEETER","NC","072036639998"
"320192","MILK, 2% (WAVE 22E)","2018-05-07","","FL1","","","1107IAF11297","","NEW PORT RICKEY","WINN DIXIE","FL","38259101131"
"320198","MILK, 2% (WAVE 22E)","2018-05-10","","NY1","","","341594258","","EAST MEADOW","STOP AND SHOP","NY","688267008634"
"320204","MILK, 2% (WAVE 22E)","2018-05-17","","CO1","","","810HB1507","","PEYTON","SAFEWAY","CO","21130070671"
"320211","MILK, 2% (WAVE 22E)","2018-05-07","","TN","","","111347125JG","","MEMPHIS","TARGET","TN","085239284025"
"320231","MILK, 2% (WAVE 22E)","2018-05-02","","NC1","","","A1425 37102","","ROANOKE RAPIDS","FOOD LION","NC","035826089779"
"320254","MILK, 2% (WAVE 22E)","2018-05-01","","AZ1","","","1638 TCRN","","TUCSON","BASHAS MARKET","AZ","031903000804"
"320276","MILK, 2% (WAVE 22E)","2018-05-09","","IL1","","","17383201435","","CHICAGO","JEWEL","IL","041900076634"
"320299","MILK, 2% (WAVE 22E)","2018-05-12","","WA1","","","41452146C2","","SEATTLE","QFC","WA","11110415646"
"320308","MILK, 2% (WAVE 22E)","2018-05-11","","MA","","","9383303","","READING","STOP AND SHOP","MA","44100102936"
"320314","MILK, 2% (WAVE 22E)","2018-05-15","","MN","","","271681750","","MINNEAPOLIS","CUB FOODS","MN","41483021779"
"320333","MILK, 2% (WAVE 22E)","2018-05-22","","MI1","","","JPR26784","","COMMERCE","MEIJER","MI","41250102113"
