"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"1832655","325036","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832654","325036","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"1833008","325198","","","Ontology name for source","dairy food product"
"1833007","325198","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001257"
"1833006","325198","","","FoodOn Ontology name for FDC item","pasteurized process cheese food"
"1833005","325198","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03303517"
"1832657","325198","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832656","325198","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"1833140","325287","","","Ontology name for source","plant derived beverage"
"1833139","325287","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001253"
"1833138","325287","","","FoodOn Ontology name for FDC item","white grapefruit juice"
"1833137","325287","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_00003293"
"1832721","325287","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832720","325287","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/37656"
"1833284","325430","","","Ontology name for source","plant fruit food product"
"1833283","325430","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001057"
"1833282","325430","","","FoodOn Ontology name for FDC item","peach (whole, raw)"
"1833281","325430","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03301719"
"1832788","325430","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832787","325430","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/3760"
"1833328","325524","","","Ontology name for source","plant seed food product"
"1833327","325524","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001173"
"1833326","325524","","","FoodOn Ontology name for FDC item","sunflower seed (whole, shell off, roasted)"
"1833325","325524","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_00003298"
"1832808","325524","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832807","325524","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/4231"
"1832960","325871","","","Ontology name for source","wheat flour"
"1832959","325871","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_03301116"
"1832958","325871","","","FoodOn Ontology name for FDC item","white bread"
"1832957","325871","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03301055"
"1832633","325871","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832632","325871","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/4564"
"1833156","326196","","","Ontology name for source","plant leaf vegetable food product"
"1833155","326196","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00002143"
"1833154","326196","","","FoodOn Ontology name for FDC item","kale (frozen)"
"1833153","326196","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03311034"
"1832728","326196","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832727","326196","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/3712"
"1833212","326698","","","Ontology name for source","mustard condiment food product"
"1833211","326698","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00002052"
"1833210","326698","","","FoodOn Ontology name for FDC item","mustard (prepared)"
"1833209","326698","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03301186"
"1833168","327046","","","Ontology name for source","plant fruit food product"
"1833167","327046","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001057"
"1833166","327046","","","FoodOn Ontology name for FDC item","kiwifruit (whole, raw)"
"1833165","327046","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03303398"
"1832732","327046","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832731","327046","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/3627"
"5579","327046","0","1000","","Chinese gooseberry"
"1833216","327357","","","Ontology name for source","plant fruit food product"
"1833215","327357","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001057"
"1833214","327357","","","FoodOn Ontology name for FDC item","nectarine (whole, raw)"
"1833213","327357","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03301107"
"1832754","327357","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832753","327357","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/3760"
"1832988","328637","","","Ontology name for source","milk or milk based food product"
"1832987","328637","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001257"
"1832986","328637","","","FoodOn Ontology name for FDC item","cheddar cheese"
"1832985","328637","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03302458"
"1832647","328637","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832646","328637","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"1832992","328841","","","Ontology name for source","milk or milk based food product"
"1832991","328841","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001258"
"1832990","328841","","","FoodOn Ontology name for FDC item","cottage cheese (lowfat)"
"1832989","328841","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03303720"
"1832649","328841","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832648","328841","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"1833000","329370","","","Ontology name for source","milk or milk based food product"
"1832999","329370","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001260"
"1832998","329370","","","FoodOn Ontology name for FDC item","mozzarella cheese low-moisture part-skim"
"1832997","329370","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03303579"
"1832653","329370","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832652","329370","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"1833040","329490","","","Ontology name for source","egg food product"
"1833039","329490","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001276"
"1833038","329490","","","FoodOn Ontology name for FDC item","hen egg (shell off, solids, dried)"
"1833037","329490","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03311041"
"1832673","329490","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832672","329490","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"1833052","329596","","","Ontology name for source","egg food product"
"1833051","329596","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001279"
"1833050","329596","","","FoodOn Ontology name for FDC item","hen egg yolk (frozen)"
"1833049","329596","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03304626"
"1832679","329596","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832678","329596","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"1833048","329716","","","Ontology name for source","egg food product"
"1833047","329716","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001278"
"1833046","329716","","","FoodOn Ontology name for FDC item","hen egg yolk (dried)"
"1833045","329716","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03305042"
"1832677","329716","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832676","329716","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"1833368","330137","","","Ontology name for source","dairy food product"
"1833367","330137","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001256"
"1833366","330137","","","FoodOn Ontology name for FDC item","yogurt (nonfat)"
"1833365","330137","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03305085"
"1832826","330137","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832825","330137","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"1832828","330415","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832827","330415","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"1833228","330458","","","Ontology name for source","plant lipid food product"
"1833227","330458","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001175"
"1833226","330458","","","FoodOn Ontology name for FDC item","coconut oil"
"1833225","330458","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03310046"
"1832760","330458","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832759","330458","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/13894"
"1833024","331897","","","Ontology name for source","poultry food product"
"1833023","331897","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001284"
"1833022","331897","","","FoodOn Ontology name for FDC item","chicken drumstick (cooked)"
"1833021","331897","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03311139"
"1832665","331897","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832664","331897","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"1833020","331960","","","Ontology name for source","poultry food product"
"1833019","331960","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001283"
"1833018","331960","","","FoodOn Ontology name for FDC item","chicken breast (skinless, boneless)"
"1833017","331960","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_00003364"
"1832663","331960","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832662","331960","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"1833304","332282","","","Ontology name for source","plant based gravy or sauce food product"
"1833303","332282","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00002128"
"1833302","332282","","","FoodOn Ontology name for FDC item","marinara sauce"
"1833301","332282","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_00003295"
"1833144","332397","","","Ontology name for source","swine food product"
"1833143","332397","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001132"
"1833142","332397","","","FoodOn Ontology name for FDC item","ham (sliced, cooked)"
"1833141","332397","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03311694"
"1832723","332397","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832722","332397","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/9822"
