"id","fdc_id","fdc_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"10566","322559","322398","","","","","","","","","",""
"10573","322559","322492","","","","","","","","","",""
"10556","322559","322249","","","","","","","","","",""
"10576","322559","322539","","","","","","","","","",""
"10567","322559","322404","","","","","","","","","",""
"10572","322559","322471","","","","","","","","","",""
"10558","322559","322287","","","","","","","","","",""
"10559","322559","322306","","","","","","","","","",""
"10565","322559","322392","","","","","","","","","",""
"10568","322559","322410","","","","","","","","","",""
"10553","322559","322229","","","","","","","","","",""
"10574","322559","322514","","","","","","","","","",""
"10560","322559","322329","","","","","","","","","",""
"10563","322559","322379","","","","","","","","","",""
"10570","322559","322439","","","","","","","","","",""
"10561","322559","322349","","","","","","","","","",""
"10555","322559","322243","","","","","","","","","",""
"10554","322559","322236","","","","","","","","","",""
"10569","322559","322416","","","","","","","","","",""
"10584","322892","322689","","","","","","","","","",""
"10594","322892","322769","","","","","","","","","",""
"10577","322892","322560","","","","","","","","","",""
"10593","322892","322763","","","","","","","","","",""
"10590","322892","322727","","","","","","","","","",""
"10578","322892","322566","","","","","","","","","",""
"10596","322892","322814","","","","","","","","","",""
"10597","322892","322836","","","","","","","","","",""
"10583","322892","322666","","","","","","","","","",""
"10595","322892","322793","","","","","","","","","",""
"10579","322892","322588","","","","","","","","","",""
"10598","322892","322842","","","","","","","","","",""
"10581","322892","322628","","","","","","","","","",""
"10592","322892","322740","","","","","","","","","",""
"10587","322892","322708","","","","","","","","","",""
"10591","322892","322734","","","","","","","","","",""
"10586","322892","322702","","","","","","","","","",""
"10585","322892","322696","","","","","","","","","",""
"10580","322892","322612","","","","","","","","","",""
"10599","322892","322851","","","","","","","","","",""
"10582","322892","322647","","","","","","","","","",""
"10588","322892","322715","","","","","","","","","",""
"10589","322892","322721","","","","","","","","","",""
"10600","322892","322871","","","","","","","","","",""
"10606","323121","322955","","","","","","","","","",""
"10607","323121","322965","","","","","","","","","",""
"10601","323121","322893","","","","","","","","","",""
"10608","323121","322972","","","","","","","","","",""
"10603","323121","322910","","","","","","","","","",""
"10617","323121","323105","","","","","","","","","",""
"10616","323121","323095","","","","","","","","","",""
"10605","323121","322937","","","","","","","","","",""
"10609","323121","322992","","","","","","","","","",""
"10602","323121","322899","","","","","","","","","",""
"10604","323121","322920","","","","","","","","","",""
"10611","323121","323027","","","","","","","","","",""
"10613","323121","323054","","","","","","","","","",""
"10615","323121","323085","","","","","","","","","",""
"10614","323121","323069","","","","","","","","","",""
"10610","323121","323010","","","","","","","","","",""
"10612","323121","323044","","","","","","","","","",""
"10627","323294","323230","","","","","","","","","",""
"10621","323294","323146","","","","","","","","","",""
"10626","323294","323212","","","","","","","","","",""
"10624","323294","323189","","","","","","","","","",""
"10618","323294","323122","","","","","","","","","",""
"10630","323294","323280","","","","","","","","","",""
"10619","323294","323129","","","","","","","","","",""
"10622","323294","323161","","","","","","","","","",""
"10620","323294","323137","","","","","","","","","",""
"10623","323294","323178","","","","","","","","","",""
"10628","323294","323250","","","","","","","","","",""
"10629","323294","323265","","","","","","","","","",""
"10625","323294","323205","","","","","","","","","",""
"10632","323444","323304","","","","","","","","","",""
"10640","323444","323408","","","","","","","","","",""
"10641","323444","323425","","","","","","","","","",""
"10637","323444","323370","","","","","","","","","",""
"10635","323444","323342","","","","","","","","","",""
"10636","323444","323361","","","","","","","","","",""
"10639","323444","323393","","","","","","","","","",""
"10633","323444","323311","","","","","","","","","",""
"10638","323444","323378","","","","","","","","","",""
"10634","323444","323326","","","","","","","","","",""
"10631","323444","323295","","","","","","","","","",""
"10644","323505","323458","","","","","","","","","",""
"10642","323505","323445","","","","","","","","","",""
"10645","323505","323473","","","","","","","","","",""
"10643","323505","323451","","","","","","","","","",""
"10646","323505","323490","","","","","","","","","",""
"10648","323604","323513","","","","","","","","","",""
"10653","323604","323548","","","","","","","","","",""
"10649","323604","323520","","","","","","","","","",""
"10650","323604","323527","","","","","","","","","",""
"10647","323604","323506","","","","","","","","","",""
"10658","323604","323583","","","","","","","","","",""
"10656","323604","323569","","","","","","","","","",""
"10660","323604","323597","","","","","","","","","",""
"10652","323604","323541","","","","","","","","","",""
"10654","323604","323555","","","","","","","","","",""
"10651","323604","323534","","","","","","","","","",""
"10655","323604","323562","","","","","","","","","",""
"10659","323604","323590","","","","","","","","","",""
"10657","323604","323576","","","","","","","","","",""
"10669","323697","323651","","","","","","","","","",""
"10672","323697","323669","","","","","","","","","",""
"10662","323697","323610","","","","","","","","","",""
"10670","323697","323657","","","","","","","","","",""
"10675","323697","323685","","","","","","","","","",""
"10666","323697","323634","","","","","","","","","",""
"10674","323697","323679","","","","","","","","","",""
"10664","323697","323622","","","","","","","","","",""
"10676","323697","323692","","","","","","","","","",""
"10671","323697","323663","","","","","","","","","",""
"10668","323697","323646","","","","","","","","","",""
"10673","323697","323674","","","","","","","","","",""
"10667","323697","323641","","","","","","","","","",""
"10661","323697","323605","","","","","","","","","",""
"10665","323697","323627","","","","","","","","","",""
"10663","323697","323616","","","","","","","","","",""
"10677","323793","323698","","","","","","","","","",""
"10688","323793","323767","","","","","","","","","",""
"10678","323793","323705","","","","","","","","","",""
"10690","323793","323780","","","","","","","","","",""
"10687","323793","323760","","","","","","","","","",""
"10686","323793","323754","","","","","","","","","",""
"10691","323793","323787","","","","","","","","","",""
"10689","323793","323774","","","","","","","","","",""
"10685","323793","323748","","","","","","","","","",""
"10681","323793","323724","","","","","","","","","",""
"10682","323793","323730","","","","","","","","","",""
"10683","323793","323736","","","","","","","","","",""
"10680","323793","323718","","","","","","","","","",""
"10684","323793","323742","","","","","","","","","",""
"10679","323793","323711","","","","","","","","","",""
"10704","324038","323887","","","","","","","","","",""
"10694","324038","323810","","","","","","","","","",""
"10710","324038","323963","","","","","","","","","",""
"10692","324038","323794","","","","","","","","","",""
"10705","324038","323896","","","","","","","","","",""
"10703","324038","323879","","","","","","","","","",""
"10707","324038","323914","","","","","","","","","",""
"10693","324038","323802","","","","","","","","","",""
"10706","324038","323905","","","","","","","","","",""
"10713","324038","324003","","","","","","","","","",""
"10697","324038","323833","","","","","","","","","",""
"10698","324038","323841","","","","","","","","","",""
"10700","324038","323855","","","","","","","","","",""
"10709","324038","323947","","","","","","","","","",""
"10708","324038","323931","","","","","","","","","",""
"10701","324038","323863","","","","","","","","","",""
"10702","324038","323871","","","","","","","","","",""
"10715","324038","324021","","","","","","","","","",""
"10711","324038","323972","","","","","","","","","",""
"10696","324038","323826","","","","","","","","","",""
"10699","324038","323847","","","","","","","","","",""
"10695","324038","323818","","","","","","","","","",""
"10712","324038","323988","","","","","","","","","",""
"10714","324038","324012","","","","","","","","","",""
"10720","324157","324113","","","","","","","","","",""
"10719","324157","324091","","","","","","","","","",""
"10718","324157","324071","","","","","","","","","",""
"10717","324157","324053","","","","","","","","","",""
"10721","324157","324135","","","","","","","","","",""
"10716","324157","324039","","","","","","","","","",""
"10724","324317","324170","","","","","","","","","",""
"10722","324317","324158","","","","","","","","","",""
"10729","324317","324252","","","","","","","","","",""
"10731","324317","324278","","","","","","","","","",""
"10725","324317","324177","","","","","","","","","",""
"10726","324317","324195","","","","","","","","","",""
"10727","324317","324214","","","","","","","","","",""
"10728","324317","324233","","","","","","","","","",""
"10730","324317","324259","","","","","","","","","",""
"10732","324317","324297","","","","","","","","","",""
"10723","324317","324165","","","","","","","","","",""
"10753","324653","324529","","","","","","","","","",""
"10733","324653","324318","","","","","","","","","",""
"10736","324653","324339","","","","","","","","","",""
"10734","324653","324325","","","","","","","","","",""
"10751","324653","324508","","","","","","","","","",""
"10760","324653","324582","","","","","","","","","",""
"10765","324653","324621","","","","","","","","","",""
"10767","324653","324637","","","","","","","","","",""
"10743","324653","324421","","","","","","","","","",""
"10759","324653","324575","","","","","","","","","",""
"10746","324653","324452","","","","","","","","","",""
"10748","324653","324472","","","","","","","","","",""
"10752","324653","324514","","","","","","","","","",""
"10737","324653","324352","","","","","","","","","",""
"10747","324653","324459","","","","","","","","","",""
"10768","324653","324645","","","","","","","","","",""
"10762","324653","324598","","","","","","","","","",""
"10749","324653","324485","","","","","","","","","",""
"10763","324653","324606","","","","","","","","","",""
"10761","324653","324590","","","","","","","","","",""
"10738","324653","324359","","","","","","","","","",""
"10754","324653","324537","","","","","","","","","",""
"10757","324653","324561","","","","","","","","","",""
"10739","324653","324366","","","","","","","","","",""
"10755","324653","324545","","","","","","","","","",""
"10744","324653","324438","","","","","","","","","",""
"10758","324653","324567","","","","","","","","","",""
"10742","324653","324414","","","","","","","","","",""
"10756","324653","324553","","","","","","","","","",""
"10741","324653","324401","","","","","","","","","",""
"10764","324653","324613","","","","","","","","","",""
"10745","324653","324445","","","","","","","","","",""
"10740","324653","324383","","","","","","","","","",""
"10766","324653","324629","","","","","","","","","",""
"10750","324653","324502","","","","","","","","","",""
"10735","324653","324332","","","","","","","","","",""
"10772","324860","324683","","","","","","","","","",""
"10779","324860","324760","","","","","","","","","",""
"10783","324860","324805","","","","","","","","","",""
"10775","324860","324726","","","","","","","","","",""
"10786","324860","324853","","","","","","","","","",""
"10781","324860","324781","","","","","","","","","",""
"10776","324860","324732","","","","","","","","","",""
"10770","324860","324661","","","","","","","","","",""
"10769","324860","324654","","","","","","","","","",""
"10778","324860","324754","","","","","","","","","",""
"10785","324860","324838","","","","","","","","","",""
"10771","324860","324668","","","","","","","","","",""
"10773","324860","324689","","","","","","","","","",""
"10784","324860","324822","","","","","","","","","",""
"10782","324860","324798","","","","","","","","","",""
"10777","324860","324748","","","","","","","","","",""
"10774","324860","324710","","","","","","","","","",""
"10780","324860","324766","","","","","","","","","",""
"10798","325036","325017","","","","","","","","","",""
"10790","325036","324891","","","","","","","","","",""
"10796","325036","324989","","","","","","","","","",""
"10788","325036","324871","","","","","","","","","",""
"10797","325036","325007","","","","","","","","","",""
"10792","325036","324921","","","","","","","","","",""
"10793","325036","324940","","","","","","","","","",""
"10789","325036","324881","","","","","","","","","",""
"10795","325036","324970","","","","","","","","","",""
"10787","325036","324861","","","","","","","","","",""
"10791","325036","324913","","","","","","","","","",""
"10794","325036","324960","","","","","","","","","",""
"10819","325198","325181","","","","","","","","","",""
"10804","325198","325101","","","","","","","","","",""
