"fdc_id","NDB_number","footnote"
"746781","100173","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746782","1077","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746783","7919","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746784","19335","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746785","5666","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"746952","7129",""
"747429","1062",""
"747430","16500",""
"747431","16501",""
"747432","16502",""
"747433","16503",""
"747434","16504",""
"747435","16505",""
"747436","16506",""
"747437","16507",""
"747438","16508",""
"747439","16509",""
"747440","16510",""
"747441","16511",""
"747442","16512",""
"747443","16513",""
"747444","16514",""
"747445","16515",""
"747446","16516",""
"747447","11090","Source number reflects the actual number of samples analyzed for a nutrient. Repeat nutrient analyses may have been done on the same sample with the values shown."
"747693","11966",""
"747997","1124",""
"748236","1125",""
"748278","4582",""
"748323","4518",""
"748366","4044",""
"748608","4063",""
"748967","1123",""
"749420","10896",""
"789828","1145",""
"789890","20081",""
"789951","20581",""
"790018","20481",""
"790085","20080",""
"790146","20083",""
"790214","20061",""
"790276","100251",""
"790508","1001",""
"790577","100252",""
"790646","100253",""
"1104647","11215",""
"1104705","16117",""
"1104766","16115",""
"1104812","20090",""
"1104913","100256",""
"1104962","100255",""
"1105073","100254",""
"1105314","9040",""
"1750339","9500",""
"1750340","9504",""
"1750341","9503",""
"1750342","9502",""
"1750343","9501",""
"1750348","4042",""
"1750349","100262",""
"1750350","4511",""
"1750351","100258",""
"1999626","100259",""
"1999627","11987",""
"1999628","11238",""
"1999629","11260",""
"1999630","16222",""
"1999631","14091",""
"1999632","100260",""
"1999633","11457",""
"1999634","100261",""
"2003586","100268",""
"2003587","20140",""
"2003588","100269",""
"2003589","100270",""
"2003590","9400",""
"2003591","9209",""
"2003592","9130",""
"2003593","100266",""
"2003594","43382",""
"2003595","100267",""
"2003596","11540",""
"2003597","9206",""
"2003598","11243",""
"2003599","100263",""
"2003600","11950",""
"2003601","11266",""
"2003602","11993",""
"2003603","100264",""
"2003604","100265",""
"2257044","100275",""
"2257045","100276",""
"2257046","100277",""
"2258586","11124",""
"2258587","11960",""
"2258588","11333",""
"2258589","11951",""
"2258590","11821",""
"2258591","100278",""
"2259792","1088",""
"2259793","1116",""
"2259794","1293",""
"2259795","100272",""
"2259796","1019",""
"2261420","100273",""
"2261421","100274",""
"2261422","11413",""
"2262072","16098",""
"2262073","100271",""
"2262074","12195",""
"2262075","12220",""
"2263887","9316",""
"2263888","9302",""
"2263889","9050",""
"2263890","100279",""
"2263891","100280",""
"2263892","9401",""
